dataset name,AUC of VCNN,AUC of Deepbind
wgEncodeAwgTfbsHaibGm12891Pu1Pcr1xUniPk,0.978671653,0.968576
wgEncodeAwgTfbsHaibGm12878Stat5asc74442V0422111UniPk,0.826838546,0.817027
wgEncodeAwgTfbsSydhHelas3Mxi1af4185IggrabUniPk,0.839392438,0.829612
wgEncodeAwgTfbsHaibHepg2Tead4sc101184V0422111UniPk,0.889434706,0.879681
wgEncodeAwgTfbsHaibHepg2Pol24h8V0416102UniPk,0.793034058,0.783282
wgEncodeAwgTfbsSydhHepg2Pol2IggrabUniPk,0.782164621,0.772432
wgEncodeAwgTfbsSydhK562CmycIfna30UniPk,0.842445392,0.83274
wgEncodeAwgTfbsSydhHelas3Brca1a300IggrabUniPk,0.860908251,0.851257
wgEncodeAwgTfbsBroadK562Hdac6a301341aUniPk,0.655994826,0.646374
wgEncodeAwgTfbsSydhK562Pol2Ifng30UniPk,0.809022114,0.799435
wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk,0.929027078,0.919785
wgEncodeAwgTfbsUwHmfCtcfUniPk,0.980086926,0.970929
wgEncodeAwgTfbsHaibGm12878Bcl3V0416101UniPk,0.874690948,0.865739
wgEncodeAwgTfbsBroadGm12878Ezh239875UniPk,0.729160184,0.720252
wgEncodeAwgTfbsSydhHuvecPol2UniPk,0.804657791,0.795814
wgEncodeAwgTfbsHaibH1hescPol2V0416102UniPk,0.787713312,0.779243
wgEncodeAwgTfbsHaibHelas3Taf1Pcr1xUniPk,0.8130733,0.80463
wgEncodeAwgTfbsHaibPfsk1Foxp2Pcr2xUniPk,0.866811471,0.858396
wgEncodeAwgTfbsHaibEcc1Pol2V0416102Dm002p1hUniPk,0.819427349,0.81102
wgEncodeAwgTfbsSydhHelas3Nrf1IggmusUniPk,0.962102207,0.953866
wgEncodeAwgTfbsSydhH1hescCtbp2UcdUniPk,0.796018964,0.788108
wgEncodeAwgTfbsHaibHct116Zbtb33V0416101UniPk,0.822958601,0.815067
wgEncodeAwgTfbsSydhHepg2Pol2ForsklnUniPk,0.799667114,0.792041
wgEncodeAwgTfbsSydhHepg2Nrf1IggrabUniPk,0.98415696,0.976703
wgEncodeAwgTfbsHaibSknshraP300V0416102UniPk,0.874841985,0.867402
wgEncodeAwgTfbsUchicagoK562Ehdac8UniPk,0.69356536,0.686251
wgEncodeAwgTfbsSydhHelas3Gtf2f1ab28179IggrabUniPk,0.82451516,0.817252
wgEncodeAwgTfbsSydhK562Ubtfsab1404509IggmusUniPk,0.831515565,0.824322
wgEncodeAwgTfbsSydhHuvecMaxUniPk,0.929620942,0.922514
wgEncodeAwgTfbsSydhHepg2P300sc582IggrabUniPk,0.85778723,0.851034
wgEncodeAwgTfbsSydhGm12878Nrf1IggmusUniPk,0.925259118,0.918668
wgEncodeAwgTfbsHaibGm12878Zeb1sc25388V0416102UniPk,0.854692714,0.84816
wgEncodeAwgTfbsSydhHelas3Stat1Ifng30UniPk,0.856591088,0.850096
wgEncodeAwgTfbsHaibEcc1Foxa1sc6553V0416102Dm002p1hUniPk,0.91811738,0.911649
wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk,0.856145007,0.849811
wgEncodeAwgTfbsUchicagoK562EfosUniPk,0.967193807,0.960889
wgEncodeAwgTfbsSydhHelas3Stat3IggrabUniPk,0.889827819,0.883889
wgEncodeAwgTfbsHaibK562Gata2sc267Pcr1xUniPk,0.944938189,0.939073
wgEncodeAwgTfbsUtaHelas3Pol2UniPk,0.803121516,0.797333
wgEncodeAwgTfbsSydhHelas3Ini1IggmusUniPk,0.787928134,0.782213
wgEncodeAwgTfbsUchicagoK562Egata2UniPk,0.849624973,0.84408
wgEncodeAwgTfbsSydhGm12878P300bUniPk,0.920486072,0.914986
wgEncodeAwgTfbsSydhGm12878P300IggmusUniPk,0.865198433,0.859896
wgEncodeAwgTfbsSydhHek293Tcf7l2UcdUniPk,0.858547802,0.853402
wgEncodeAwgTfbsSydhGm12878Ebf1sc137065UniPk,0.926445108,0.921303
wgEncodeAwgTfbsSydhHelas3Pol2UniPk,0.802116315,0.797118
wgEncodeAwgTfbsSydhA549MaxIggrabUniPk,0.860558773,0.855577
wgEncodeAwgTfbsHaibK562Egr1V0416101UniPk,0.937586213,0.932678
wgEncodeAwgTfbsHaibT47dP300V0416102Dm002p1hUniPk,0.873055634,0.868197
wgEncodeAwgTfbsSydhK562Nrf1IggrabUniPk,0.952996956,0.948153
wgEncodeAwgTfbsHaibK562Stat5asc74442V0422111UniPk,0.914492807,0.909726
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk,0.943142978,0.938482
wgEncodeAwgTfbsHaibA549Yy1cV0422111Etoh02UniPk,0.869992039,0.865395
wgEncodeAwgTfbsSydhHelas3Ap2alphaUniPk,0.898119372,0.893603
wgEncodeAwgTfbsSydhMcf10aesE2f4TamHvdUniPk,0.910214279,0.90575
wgEncodeAwgTfbsHaibGm12878Pol2Pcr2xUniPk,0.792853894,0.788429
wgEncodeAwgTfbsHaibHelas3GabpPcr1xUniPk,0.925003254,0.920604
wgEncodeAwgTfbsSydhHepg2MaxIggrabUniPk,0.872146532,0.867769
wgEncodeAwgTfbsSydhK562Pol2Ifna6hUniPk,0.793262352,0.788897
wgEncodeAwgTfbsHaibGm12878Tcf12Pcr1xUniPk,0.895634978,0.891274
wgEncodeAwgTfbsBroadHsmmEzh239875UniPk,0.715604071,0.711269
